,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
27,0.001418,0.001593,0.001556,0.001419,0.001274,0.001328,0.00128,0.001365,0.001488,0.001517,0.001458,0.00132,0.001288,0.00126,0.001218,0.001007,0.000972,0.001178,0.001158,0.001118,0.001132,0.001078
28,0.001503,0.001534,0.001439,0.001506,0.001441,0.001317,0.001323,0.001522,0.00149,0.001438,0.001322,0.001331,0.001273,0.001282,0.00109,0.001204,0.001189,0.001168,0.001156,0.001084,0.00112,0.001078
29,0.00164,0.001491,0.001443,0.001311,0.00154,0.001317,0.001411,0.001247,0.001483,0.001283,0.001351,0.001333,0.001285,0.00139,0.001138,0.001241,0.001107,0.001133,0.00114,0.001154,0.001123,0.001051
30,0.001655,0.001702,0.00152,0.001538,0.001629,0.001509,0.001406,0.001387,0.00145,0.001477,0.001328,0.001335,0.001458,0.001316,0.001318,0.001277,0.001222,0.001179,0.001319,0.001198,0.001228,0.001069
31,0.001599,0.00152,0.001543,0.001417,0.001389,0.001456,0.001298,0.001556,0.001399,0.001428,0.001518,0.001455,0.001382,0.001356,0.001249,0.001302,0.001209,0.001233,0.00121,0.001311,0.001176,0.001122
32,0.001919,0.001998,0.001922,0.001771,0.001684,0.001731,0.001549,0.001595,0.001546,0.001734,0.001532,0.001784,0.001544,0.001567,0.001304,0.001176,0.001286,0.001549,0.001235,0.001413,0.001184,0.001117
33,0.001981,0.00184,0.001856,0.001823,0.001757,0.001767,0.001837,0.001601,0.001742,0.001787,0.001804,0.001557,0.001719,0.001829,0.001435,0.001484,0.00134,0.001519,0.001499,0.001271,0.001276,0.00121
34,0.001951,0.002038,0.002041,0.00173,0.001756,0.001779,0.001845,0.001713,0.001839,0.001719,0.001724,0.001619,0.001628,0.001627,0.001551,0.001466,0.00157,0.001356,0.001367,0.001369,0.001285,0.001263
35,0.002044,0.001976,0.001972,0.0018,0.00196,0.001855,0.001718,0.001812,0.001903,0.001893,0.001831,0.001704,0.001782,0.001802,0.00167,0.001774,0.001378,0.00151,0.00157,0.001455,0.001463,0.001383
36,0.002157,0.002225,0.002108,0.002166,0.002096,0.002109,0.002117,0.002094,0.001992,0.001909,0.001902,0.00184,0.0019,0.001906,0.001838,0.001771,0.001683,0.001673,0.001601,0.00172,0.001535,0.001454
