,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
81,0.0232293108330243,0.0234037005886787,0.0224972034508373,0.0225043418630679,0.021764117440774,0.0216592186212174,0.0210381375906069,0.020859378336808,0.0203246528960099,0.0200983859231,0.0196271651359134,0.0193715413101013,0.0189478626702176,0.0186753463829152,0.0182880247872958,0.0180071399190533,0.0176483052023227,0.0173648465947548,0.0170289300762972,0.0167468038910075,0.0164298359226666
82,0.0248176073580042,0.0249877430957632,0.0240052322231199,0.0239974437390374,0.023193793908741,0.0230672750742533,0.0223918941666024,0.0221875100373087,0.0216052288904374,0.0213511398172891,0.0208374634865506,0.0205530282070753,0.0200908531670569,0.0197893359891087,0.0193666794424218,0.0190571270972613,0.0186655557249437,0.0183540980892587,0.0179876404803202,0.0176783917476563,0.0173327854501031
83,0.0272550828101156,0.0274500964999036,0.0263801364938835,0.0263796646980577,0.0255050787591611,0.0253738869258579,0.0246393635146709,0.0244222036722788,0.0237892745772344,0.0235170160788075,0.0229588782004437,0.0226527654805695,0.0221506985917336,0.021825306472232,0.0213661936558466,0.0210314776934513,0.020606088359555,0.020268806830139,0.019870607449604,0.0195353072459057,0.019159637431388
84,0.0289628688647895,0.0291476006760771,0.0279909668630904,0.02796903574042,0.0270217630862044,0.0268622815697578,0.0260652498088751,0.0258158845197717,0.025128014576028,0.0248215777286407,0.0242142685865307,0.0238732892781066,0.0233265747424602,0.0229664673748894,0.0224663595229938,0.0220976188650017,0.0216342710609657,0.0212639924036022,0.0208304286804183,0.0204633602665998,0.0200545962687515
85,0.0315511492417437,0.0317518236014209,0.0304931595978878,0.0304690100662537,0.029438052080221,0.0292642442482195,0.0283967005524562,0.028125081808944,0.0273762766675124,0.0270425413945559,0.026381367704095,0.0260100269879557,0.0254147680110394,0.0250225945958723,0.0244780355118286,0.0240764506979334,0.0235718810503983,0.0231686078757187,0.0226964397579429,0.0222966476407023,0.0218514596214786
86,0.0339039921331947,0.034103726248361,0.0327383529976685,0.0326974436881879,0.0315777878583619,0.031377133153406,0.0304339321207334,0.030129274639365,0.0293144220587717,0.0289440929080166,0.0282241058422453,0.0278143915735926,0.0271659001282885,0.0267347601658971,0.0261413918093762,0.0257010321146407,0.0251512586207106,0.0247099128136015,0.0241955620177473,0.0237587236110631,0.0232739504906007
87,0.0362240578807127,0.0364185182279195,0.0349441730988615,0.0348826421060103,0.0336721368876392,0.0334412136941791,0.0324203178955581,0.0320796016140975,0.0311967864172031,0.0307872050948032,0.0300066203962509,0.0295561984276493,0.0288528281886417,0.0283806776105883,0.0277369961097818,0.0272560774158663,0.0266597405767827,0.0261787716405535,0.025621022604138,0.0251457981276166,0.0246203658774981
88,0.0398842267539098,0.0401082398286295,0.0384973494605368,0.0384395691027764,0.0371175127463008,0.0368728937057147,0.0357583476847623,0.035392297118643,0.0344287841921855,0.0339862619055071,0.0331344757861245,0.0326463000965098,0.0318788070252355,0.0313660217107083,0.0306636010365108,0.0301404980813839,0.0294896139452207,0.0289658250163523,0.0283568790848316,0.0278388221629423,0.0272649458996556
89,0.0424937906735939,0.0427114547015299,0.0409783325140905,0.0408970801786963,0.0394730544992371,0.0391942046626689,0.0379924064700909,0.0375856726575577,0.0365458030796053,0.0360590458302462,0.0351391544462623,0.0346051337141872,0.0337759473967992,0.0332169950012062,0.0324580040970357,0.031889255318677,0.0311860116880997,0.0306176394198129,0.0299598906469735,0.0293986494242176,0.0287790501900715
90,0.0453942433053324,0.0456007938383695,0.0437284549274688,0.043617336690661,0.0420769412782223,0.041756578689932,0.0404550408188475,0.0399999394014616,0.0388726803793055,0.0383339158481778,0.0373360261468441,0.0367485002903798,0.0358486485781389,0.0352361054595525,0.0344123388288518,0.0337908308817681,0.0330276781112162,0.032407960133214,0.0316944332312908,0.0310836152846211,0.030411830507541
91,0.0505110326432668,0.0507752633113102,0.0487293849720748,0.048639441370662,0.0469583733831312,0.0466339452577238,0.0452151476899073,0.0447386553376283,0.0435109210047911,0.0429389975857919,0.0418527700529202,0.0412242172643179,0.0402449077586136,0.0395862046479478,0.0386895767906069,0.038018692358782,0.0371876738913141,0.0365167046686142,0.0357391844773762,0.0350761785638156,0.0343434842624372
92,0.0536560624102208,0.0539050421042368,0.0517063960450476,0.0515811663620316,0.049772108334151,0.0494000297864208,0.0478713037588866,0.0473399633564332,0.046015741183867,0.0453852333370178,0.0442127650527935,0.0435241927142222,0.0424666689210062,0.0417480245998474,0.0407796517959226,0.0400498838986509,0.0391524856052614,0.038424308840612,0.0375849793043178,0.0368668163423875,0.0360763005975246
93,0.0585546130505734,0.05884097515631,0.0564615811926557,0.0563398733452147,0.0543827838452791,0.0539913011643494,0.0523379948211823,0.0517719366242909,0.0503401160116518,0.0496648690775695,0.0483972628665809,0.047657603486964,0.0465142380721142,0.0457407028108342,0.0446935660332003,0.0439068600502594,0.0429362155347571,0.0421502616683809,0.0412421027115565,0.040466149641896,0.0396104400751667
94,0.0608921953373869,0.0611439444151227,0.0586303750715793,0.0584603927880701,0.0563895452692334,0.0559421219921839,0.0541901085603993,0.0535643921785946,0.0520452550637897,0.0513092071775623,0.0499631619251873,0.0491632138505778,0.0479485452132117,0.047116274467938,0.0460037476800022,0.0451604918709577,0.0441294975014484,0.043289541393508,0.0423254355436579,0.0414982116868645,0.0405904806549731
